Model,Total Questions,Average F1,Category,Category Questions,Category F1
mistral-instruct-7b-32k-v2_dialog_top_5,1986,0.2499,Overall,1986,0.2499
mistral-instruct-7b-32k-v2_dialog_top_5,1986,0.2499,Category 1,282,0.1775
mistral-instruct-7b-32k-v2_dialog_top_5,1986,0.2499,Category 2,321,0.1865
mistral-instruct-7b-32k-v2_dialog_top_5,1986,0.2499,Category 3,96,0.0966
mistral-instruct-7b-32k-v2_dialog_top_5,1986,0.2499,Category 4,841,0.2309
mistral-instruct-7b-32k-v2_dialog_top_5,1986,0.2499,Category 5,446,0.4103
mistral-instruct-7b-32k-v2_dialog_top_10,1986,0.2419,Overall,1986,0.2419
mistral-instruct-7b-32k-v2_dialog_top_10,1986,0.2419,Category 1,282,0.2398
mistral-instruct-7b-32k-v2_dialog_top_10,1986,0.2419,Category 2,321,0.1936
mistral-instruct-7b-32k-v2_dialog_top_10,1986,0.2419,Category 3,96,0.0848
mistral-instruct-7b-32k-v2_dialog_top_10,1986,0.2419,Category 4,841,0.2468
mistral-instruct-7b-32k-v2_dialog_top_10,1986,0.2419,Category 5,446,0.3027
mistral-instruct-7b-32k-v2_dialog_top_25,1986,0.2327,Overall,1986,0.2327
mistral-instruct-7b-32k-v2_dialog_top_25,1986,0.2327,Category 1,282,0.2729
mistral-instruct-7b-32k-v2_dialog_top_25,1986,0.2327,Category 2,321,0.2055
mistral-instruct-7b-32k-v2_dialog_top_25,1986,0.2327,Category 3,96,0.1010
mistral-instruct-7b-32k-v2_dialog_top_25,1986,0.2327,Category 4,841,0.2730
mistral-instruct-7b-32k-v2_dialog_top_25,1986,0.2327,Category 5,446,0.1794
mistral-instruct-7b-32k-v2_dialog_top_50,1986,0.2355,Overall,1986,0.2355
mistral-instruct-7b-32k-v2_dialog_top_50,1986,0.2355,Category 1,282,0.2817
mistral-instruct-7b-32k-v2_dialog_top_50,1986,0.2355,Category 2,321,0.2022
mistral-instruct-7b-32k-v2_dialog_top_50,1986,0.2355,Category 3,96,0.0988
mistral-instruct-7b-32k-v2_dialog_top_50,1986,0.2355,Category 4,841,0.2911
mistral-instruct-7b-32k-v2_dialog_top_50,1986,0.2355,Category 5,446,0.1547
mistral-instruct-7b-32k-v2_observation_top_5,1986,0.2702,Overall,1986,0.2702
mistral-instruct-7b-32k-v2_observation_top_5,1986,0.2702,Category 1,282,0.1905
mistral-instruct-7b-32k-v2_observation_top_5,1986,0.2702,Category 2,321,0.1682
mistral-instruct-7b-32k-v2_observation_top_5,1986,0.2702,Category 3,96,0.0794
